bad	worse, worst
badly	worse, worst
big	bigger, biggest
cruel	crueller, cruellest or crueler, cruelest
dry	drier, driest or dryer, dryest
early	earlier, earliest
early	earlier, earliest
far	farther, farthest or further, furthest
fat	fatter, fattest
fit	fitter, fittest
flat	flatter, flattest
flat	flatter, flattest
glad	gladder, gladdest
good	better, best
grim	grimmer, grimmest
hot	hotter, hottest
little	less, least
mad	madder, maddest
many	more, most
much	more, most
much	more, most
red	redder, reddest
sad	sadder, saddest
shy	shyer, shyest
slim	slimmer, slimmest
that	PLURAL those
thin	thinner, thinnest
this	PLURAL these
well	better, best
well	better, best
wet	wetter, wettest
