admit	VERB	-tt-
aircraft	NOUN	PLURAL aircraft
analysis	NOUN	PLURAL analyses
arise	VERB	arose, arisen
aspirin	NOUN	PLURAL aspirin or aspirins
bad	ADJECTIVE	worse, worst
badly	ADVERB	worse, worst
ban	VERB	-nn-
basis	NOUN	PLURAL bases
bear	VERB	bore, borne
beat	VERB	beat, beaten
become	VERB	became, become
beg	VERB	-gg-
begin	VERB	beginning, began, begun
bend	VERB	bent, bent
benefit	VERB	-t-
bid	VERB	bidding, bid
big	ADJECTIVE	bigger, biggest
bind	VERB	bound
bite	VERB	bit, bitten
bleed	VERB	bled, bled
blow	VERB	blew, blown
break	VERB	broke, broken
breed	VERB	bred, bred
bring	VERB	brought, brought
broadcast	VERB	broadcast, broadcast
brother-in-law	NOUN	PLURAL brothers-in-law
build	VERB	built, built
burn	VERB	burnt or burned, burnt or burned
burst	VERB	burst, burst
bus	NOUN	PLURAL buses
businessman	NOUN	PLURAL businessmen
businesswoman	NOUN	PLURAL businesswomen
buy	VERB	bought, bought
calf	NOUN	PLURAL calves
cancel	VERB	-ll- or US USUALLY -l-
cargo	NOUN	cargoes
catch	VERB	caught, caught
chat	VERB	-tt-
child	NOUN	PLURAL children
chilli	NOUN	PLURAL chillies
choose	VERB	chose, chosen
chop	VERB	-pp-
clap	VERB	-pp-
cling	VERB	clung
cod	NOUN	PLURAL cod
combat	VERB	combatting, combatted, combating, combated
come	VERB	came, come
commit	VERB	-tt-
compel	VERB	compelling, compelled
control	VERB	-ll-
cost	VERB	cost, cost
creep	VERB	crept
crisis	NOUN	PLURAL crises
criterion	NOUN	criteria
crossroads	NOUN	PLURAL crossroads
cruel	ADJECTIVE	crueller, cruellest or crueler, cruelest
curriculum	NOUN	PLURAL curricula or curriculums
cut	VERB	cutting, cut, cut
daughter-in-law	NOUN	PLURAL daughters-in-law
deal	VERB	dealt, dealt
deer	NOUN	PLURAL deer
diagnosis	NOUN	diagnoses
dial	VERB	-ll-
dice	NOUN	dice
die	VERB	dying, died, died
dig	VERB	digging, dug, dug
dim	VERB	-mm-
dip	VERB	-pp-
disco	NOUN	PLURAL discos
